barrio,tipo_gral,anio,mes,franja_grupo,cantidad_crimenes
AGRONOMIA,Crimenes No Violentos,2018,1,1,1
AGRONOMIA,Crimenes No Violentos,2018,1,2,4
AGRONOMIA,Crimenes No Violentos,2018,1,3,7
AGRONOMIA,Crimenes No Violentos,2018,1,4,20
AGRONOMIA,Crimenes No Violentos,2018,2,1,2
AGRONOMIA,Crimenes No Violentos,2018,2,2,4
AGRONOMIA,Crimenes No Violentos,2018,2,3,12
AGRONOMIA,Crimenes No Violentos,2018,2,4,11
AGRONOMIA,Crimenes No Violentos,2018,3,1,3
AGRONOMIA,Crimenes No Violentos,2018,3,2,5
AGRONOMIA,Crimenes No Violentos,2018,3,3,14
AGRONOMIA,Crimenes No Violentos,2018,3,4,16
AGRONOMIA,Crimenes No Violentos,2018,4,1,4
AGRONOMIA,Crimenes No Violentos,2018,4,2,5
AGRONOMIA,Crimenes No Violentos,2018,4,3,8
AGRONOMIA,Crimenes No Violentos,2018,4,4,11
AGRONOMIA,Crimenes No Violentos,2018,5,1,5
AGRONOMIA,Crimenes No Violentos,2018,5,2,7
AGRONOMIA,Crimenes No Violentos,2018,5,3,14
AGRONOMIA,Crimenes No Violentos,2018,5,4,10
AGRONOMIA,Crimenes No Violentos,2018,6,1,3
AGRONOMIA,Crimenes No Violentos,2018,6,2,8
AGRONOMIA,Crimenes No Violentos,2018,6,3,10
AGRONOMIA,Crimenes No Violentos,2018,6,4,10
AGRONOMIA,Crimenes No Violentos,2018,7,1,1
AGRONOMIA,Crimenes No Violentos,2018,7,2,3
AGRONOMIA,Crimenes No Violentos,2018,7,3,7
AGRONOMIA,Crimenes No Violentos,2018,7,4,6
AGRONOMIA,Crimenes No Violentos,2018,8,1,4
AGRONOMIA,Crimenes No Violentos,2018,8,2,4
AGRONOMIA,Crimenes No Violentos,2018,8,3,12
AGRONOMIA,Crimenes No Violentos,2018,8,4,9
AGRONOMIA,Crimenes No Violentos,2018,9,1,3
AGRONOMIA,Crimenes No Violentos,2018,9,2,5
AGRONOMIA,Crimenes No Violentos,2018,9,3,8
AGRONOMIA,Crimenes No Violentos,2018,9,4,7
AGRONOMIA,Crimenes No Violentos,2018,10,1,4
AGRONOMIA,Crimenes No Violentos,2018,10,2,7
AGRONOMIA,Crimenes No Violentos,2018,10,3,8
AGRONOMIA,Crimenes No Violentos,2018,10,4,15
AGRONOMIA,Crimenes No Violentos,2018,11,1,1
AGRONOMIA,Crimenes No Violentos,2018,11,2,9
AGRONOMIA,Crimenes No Violentos,2018,11,3,6
AGRONOMIA,Crimenes No Violentos,2018,11,4,14
AGRONOMIA,Crimenes No Violentos,2018,12,1,3
AGRONOMIA,Crimenes No Violentos,2018,12,2,9
AGRONOMIA,Crimenes No Violentos,2018,12,3,9
AGRONOMIA,Crimenes No Violentos,2018,12,4,14
AGRONOMIA,Crimenes No Violentos,2019,1,1,1
AGRONOMIA,Crimenes No Violentos,2019,1,2,8
AGRONOMIA,Crimenes No Violentos,2019,1,3,10
AGRONOMIA,Crimenes No Violentos,2019,1,4,11
AGRONOMIA,Crimenes No Violentos,2019,2,1,4
AGRONOMIA,Crimenes No Violentos,2019,2,2,11
AGRONOMIA,Crimenes No Violentos,2019,2,3,9
AGRONOMIA,Crimenes No Violentos,2019,2,4,9
AGRONOMIA,Crimenes No Violentos,2019,3,1,2
AGRONOMIA,Crimenes No Violentos,2019,3,2,3
AGRONOMIA,Crimenes No Violentos,2019,3,3,11
AGRONOMIA,Crimenes No Violentos,2019,3,4,20
AGRONOMIA,Crimenes No Violentos,2019,4,1,4
AGRONOMIA,Crimenes No Violentos,2019,4,2,10
AGRONOMIA,Crimenes No Violentos,2019,4,3,10
AGRONOMIA,Crimenes No Violentos,2019,4,4,12
AGRONOMIA,Crimenes No Violentos,2019,5,1,3
AGRONOMIA,Crimenes No Violentos,2019,5,2,9
AGRONOMIA,Crimenes No Violentos,2019,5,3,8
AGRONOMIA,Crimenes No Violentos,2019,5,4,7
AGRONOMIA,Crimenes No Violentos,2019,6,1,1
AGRONOMIA,Crimenes No Violentos,2019,6,2,8
AGRONOMIA,Crimenes No Violentos,2019,6,3,11
AGRONOMIA,Crimenes No Violentos,2019,6,4,7
AGRONOMIA,Crimenes No Violentos,2019,7,1,5
AGRONOMIA,Crimenes No Violentos,2019,7,2,4
AGRONOMIA,Crimenes No Violentos,2019,7,3,6
AGRONOMIA,Crimenes No Violentos,2019,7,4,9
AGRONOMIA,Crimenes No Violentos,2019,8,1,2
AGRONOMIA,Crimenes No Violentos,2019,8,2,9
AGRONOMIA,Crimenes No Violentos,2019,8,3,8
AGRONOMIA,Crimenes No Violentos,2019,8,4,9
AGRONOMIA,Crimenes No Violentos,2019,9,1,2
AGRONOMIA,Crimenes No Violentos,2019,9,2,7
AGRONOMIA,Crimenes No Violentos,2019,9,3,17
AGRONOMIA,Crimenes No Violentos,2019,9,4,15
AGRONOMIA,Crimenes No Violentos,2019,10,1,2
AGRONOMIA,Crimenes No Violentos,2019,10,2,10
AGRONOMIA,Crimenes No Violentos,2019,10,3,7
AGRONOMIA,Crimenes No Violentos,2019,10,4,6
AGRONOMIA,Crimenes No Violentos,2019,11,1,10
AGRONOMIA,Crimenes No Violentos,2019,11,2,4
AGRONOMIA,Crimenes No Violentos,2019,11,3,4
AGRONOMIA,Crimenes No Violentos,2019,11,4,5
AGRONOMIA,Crimenes No Violentos,2019,12,1,10
AGRONOMIA,Crimenes No Violentos,2019,12,2,2
AGRONOMIA,Crimenes No Violentos,2019,12,3,11
AGRONOMIA,Crimenes No Violentos,2019,12,4,12
AGRONOMIA,Crimenes No Violentos,2020,3,1,2
AGRONOMIA,Crimenes No Violentos,2020,3,2,8
AGRONOMIA,Crimenes No Violentos,2020,3,3,4
AGRONOMIA,Crimenes No Violentos,2020,3,4,5
AGRONOMIA,Crimenes No Violentos,2020,8,2,4
AGRONOMIA,Crimenes No Violentos,2020,8,3,2
AGRONOMIA,Crimenes No Violentos,2020,8,4,2
AGRONOMIA,Crimenes No Violentos,2020,9,3,4
AGRONOMIA,Crimenes No Violentos,2020,10,1,1
AGRONOMIA,Crimenes No Violentos,2020,10,2,3
AGRONOMIA,Crimenes No Violentos,2020,10,3,4
AGRONOMIA,Crimenes No Violentos,2020,10,4,3
AGRONOMIA,Crimenes No Violentos,2020,11,1,2
AGRONOMIA,Crimenes No Violentos,2020,11,2,4
AGRONOMIA,Crimenes No Violentos,2020,11,3,5
AGRONOMIA,Crimenes No Violentos,2020,11,4,6
AGRONOMIA,Crimenes No Violentos,2020,12,1,3
AGRONOMIA,Crimenes No Violentos,2020,12,2,9
AGRONOMIA,Crimenes No Violentos,2020,12,3,5
AGRONOMIA,Crimenes No Violentos,2020,12,4,2
AGRONOMIA,Crimenes No Violentos,2021,1,1,2
AGRONOMIA,Crimenes No Violentos,2021,1,2,6
AGRONOMIA,Crimenes No Violentos,2021,1,3,3
AGRONOMIA,Crimenes No Violentos,2021,1,4,5
AGRONOMIA,Crimenes No Violentos,2021,2,1,5
AGRONOMIA,Crimenes No Violentos,2021,2,2,5
AGRONOMIA,Crimenes No Violentos,2021,2,3,10
AGRONOMIA,Crimenes No Violentos,2021,2,4,10
AGRONOMIA,Crimenes No Violentos,2021,3,1,6
AGRONOMIA,Crimenes No Violentos,2021,3,2,7
AGRONOMIA,Crimenes No Violentos,2021,3,3,9
AGRONOMIA,Crimenes No Violentos,2021,3,4,11
AGRONOMIA,Crimenes No Violentos,2021,4,2,8
AGRONOMIA,Crimenes No Violentos,2021,4,3,2
AGRONOMIA,Crimenes No Violentos,2021,4,4,7
AGRONOMIA,Crimenes No Violentos,2021,5,1,1
AGRONOMIA,Crimenes No Violentos,2021,5,2,2
AGRONOMIA,Crimenes No Violentos,2021,5,3,5
AGRONOMIA,Crimenes No Violentos,2021,5,4,2
AGRONOMIA,Crimenes No Violentos,2021,6,1,2
AGRONOMIA,Crimenes No Violentos,2021,6,2,5
AGRONOMIA,Crimenes No Violentos,2021,6,3,3
AGRONOMIA,Crimenes No Violentos,2021,6,4,5
AGRONOMIA,Crimenes No Violentos,2021,7,1,2
AGRONOMIA,Crimenes No Violentos,2021,7,2,6
AGRONOMIA,Crimenes No Violentos,2021,7,3,5
AGRONOMIA,Crimenes No Violentos,2021,7,4,4
AGRONOMIA,Crimenes No Violentos,2021,8,1,1
AGRONOMIA,Crimenes No Violentos,2021,8,2,7
AGRONOMIA,Crimenes No Violentos,2021,8,3,8
AGRONOMIA,Crimenes No Violentos,2021,8,4,4
AGRONOMIA,Crimenes No Violentos,2021,9,2,5
AGRONOMIA,Crimenes No Violentos,2021,9,3,7
AGRONOMIA,Crimenes No Violentos,2021,9,4,2
AGRONOMIA,Crimenes No Violentos,2021,10,1,2
AGRONOMIA,Crimenes No Violentos,2021,10,2,10
AGRONOMIA,Crimenes No Violentos,2021,10,3,10
AGRONOMIA,Crimenes No Violentos,2021,10,4,6
AGRONOMIA,Crimenes No Violentos,2021,11,2,3
AGRONOMIA,Crimenes No Violentos,2021,11,3,6
AGRONOMIA,Crimenes No Violentos,2021,11,4,4
AGRONOMIA,Crimenes No Violentos,2021,12,1,3
AGRONOMIA,Crimenes No Violentos,2021,12,2,4
AGRONOMIA,Crimenes No Violentos,2021,12,3,5
AGRONOMIA,Crimenes No Violentos,2021,12,4,5
AGRONOMIA,Crimenes No Violentos,2022,1,1,2
AGRONOMIA,Crimenes No Violentos,2022,1,2,5
AGRONOMIA,Crimenes No Violentos,2022,1,3,6
AGRONOMIA,Crimenes No Violentos,2022,1,4,8
AGRONOMIA,Crimenes No Violentos,2022,2,1,3
AGRONOMIA,Crimenes No Violentos,2022,2,2,10
AGRONOMIA,Crimenes No Violentos,2022,2,3,9
AGRONOMIA,Crimenes No Violentos,2022,2,4,4
AGRONOMIA,Crimenes No Violentos,2022,3,1,4
AGRONOMIA,Crimenes No Violentos,2022,3,2,7
AGRONOMIA,Crimenes No Violentos,2022,3,3,10
AGRONOMIA,Crimenes No Violentos,2022,3,4,9
AGRONOMIA,Crimenes No Violentos,2022,4,1,9
AGRONOMIA,Crimenes No Violentos,2022,4,2,12
AGRONOMIA,Crimenes No Violentos,2022,4,3,5
AGRONOMIA,Crimenes No Violentos,2022,4,4,13
AGRONOMIA,Crimenes No Violentos,2022,5,1,6
AGRONOMIA,Crimenes No Violentos,2022,5,2,6
AGRONOMIA,Crimenes No Violentos,2022,5,3,4
AGRONOMIA,Crimenes No Violentos,2022,5,4,8
AGRONOMIA,Crimenes No Violentos,2022,6,1,4
AGRONOMIA,Crimenes No Violentos,2022,6,2,10
AGRONOMIA,Crimenes No Violentos,2022,6,3,8
AGRONOMIA,Crimenes No Violentos,2022,6,4,7
AGRONOMIA,Crimenes No Violentos,2022,7,1,4
AGRONOMIA,Crimenes No Violentos,2022,7,2,6
AGRONOMIA,Crimenes No Violentos,2022,7,3,4
AGRONOMIA,Crimenes No Violentos,2022,7,4,10
AGRONOMIA,Crimenes No Violentos,2022,8,1,8
AGRONOMIA,Crimenes No Violentos,2022,8,2,8
AGRONOMIA,Crimenes No Violentos,2022,8,3,5
AGRONOMIA,Crimenes No Violentos,2022,8,4,14
AGRONOMIA,Crimenes No Violentos,2022,9,1,5
AGRONOMIA,Crimenes No Violentos,2022,9,2,8
AGRONOMIA,Crimenes No Violentos,2022,9,3,8
AGRONOMIA,Crimenes No Violentos,2022,9,4,5
AGRONOMIA,Crimenes No Violentos,2022,10,1,1
AGRONOMIA,Crimenes No Violentos,2022,10,2,13
AGRONOMIA,Crimenes No Violentos,2022,10,3,5
AGRONOMIA,Crimenes No Violentos,2022,10,4,9
AGRONOMIA,Crimenes No Violentos,2022,11,1,7
AGRONOMIA,Crimenes No Violentos,2022,11,2,8
AGRONOMIA,Crimenes No Violentos,2022,11,3,11
AGRONOMIA,Crimenes No Violentos,2022,11,4,3
AGRONOMIA,Crimenes No Violentos,2022,12,1,2
AGRONOMIA,Crimenes No Violentos,2022,12,2,3
AGRONOMIA,Crimenes No Violentos,2022,12,3,4
AGRONOMIA,Crimenes No Violentos,2022,12,4,8
AGRONOMIA,Crimenes Viales,2018,1,2,2
AGRONOMIA,Crimenes Viales,2018,1,3,2
AGRONOMIA,Crimenes Viales,2018,2,3,4
AGRONOMIA,Crimenes Viales,2018,2,4,1
AGRONOMIA,Crimenes Viales,2018,3,2,2
AGRONOMIA,Crimenes Viales,2018,3,3,1
